Age,Annual Income,Loan Amount,Credit Score,Employment Length,Debt-to-Income Ratio,Number of Previous Defaults,Loan Term,Home Ownership,Loan Purpose,Loan Status
29,109112.0,32667,768,35.0,0.5730972714408451,0,60,Mortgage,Auto,0
22,43714.0,39102,534,10.0,0.15853350821380294,0,24,Mortgage,Auto,0
63,66732.0,40081,692,26.0,0.45312111357824814,0,60,Rent,Education,0
39,126995.0,27256,810,6.0,0.5930005319114354,0,48,Rent,Home Improvement,0
44,45289.0,29178,338,2.0,0.22684108693656937,0,24,Mortgage,Home Improvement,0
56,72224.0,40298,647,24.0,0.5342995640947301,0,24,Rent,Auto,1
38,40559.0,28509,512,10.0,0.5595578576393297,0,36,Mortgage,Education,1
31,148142.0,43356,558,15.0,0.4685503529215096,1,24,Mortgage,Auto,1
45,139156.0,30703,421,27.0,0.42342418083436195,0,48,Own,Personal,0
44,67605.0,41080,500,32.0,0.30560336043609315,0,60,Rent,Personal,0
68,69407.0,5804,749,9.0,0.5663642416770066,1,60,Rent,Business,0
35,28415.0,47318,476,10.0,0.39706535767606754,0,36,Mortgage,Home Improvement,1
52,28702.0,1384,704,5.0,0.44585719858445605,0,60,Mortgage,Education,0
54,24809.0,33201,382,16.0,0.22054241616481593,0,12,Mortgage,Education,1
66,65543.0,43783,333,27.0,0.23433624101265368,0,24,Own,Home Improvement,1
29,62944.0,9427,688,29.0,0.5383268013291725,0,60,Mortgage,Home Improvement,1
55,85215.0,14051,605,33.0,0.41832216081114126,0,36,Mortgage,Business,0
41,62318.0,5637,405,16.0,0.574760311828821,0,12,Own,Personal,1
51,93477.0,15388,749,,0.2045653955392571,0,36,Rent,Personal,0
48,26090.0,12637,819,3.0,0.19094004219957242,0,36,Mortgage,Education,0
68,43954.0,22508,765,27.0,0.27380960724134173,0,12,Own,Business,0
66,148077.0,27329,372,25.0,0.4997051994545213,0,36,Mortgage,Personal,1
18,79399.0,15178,552,14.0,0.3682953229936663,1,24,Mortgage,Education,0
43,24621.0,16034,611,6.0,0.4435827527016656,1,36,Own,Personal,1
52,54674.0,36854,491,24.0,0.4687026030469096,0,12,Mortgage,Personal,1
42,124592.0,4596,511,24.0,0.4395511595722448,0,60,Own,Education,0
64,93479.0,13199,668,18.0,0.28938631297564466,0,48,Mortgage,Education,0
62,132581.0,4812,676,32.0,0.10376718156703738,0,48,Mortgage,Personal,0
41,47446.0,14046,542,30.0,0.3051984134948308,2,24,Own,Auto,1
66,132221.0,19935,740,1.0,0.3783814465069649,0,36,Mortgage,Personal,0
21,111922.0,46587,412,11.0,0.15741841236960177,0,60,Own,Auto,1
20,40128.0,46745,309,4.0,0.13168748523638388,2,60,Mortgage,Personal,1
26,39216.0,28534,849,34.0,0.2744341332714977,1,48,Mortgage,Personal,0
26,85441.0,20019,846,0.0,0.4705603246450295,0,60,Rent,Home Improvement,1
47,144194.0,22204,464,4.0,0.2178458730324999,0,48,Rent,Education,0
25,95046.0,30287,825,31.0,0.33133989283480325,0,12,Rent,Auto,0
31,147796.0,37455,403,38.0,0.15844902035418204,1,36,Rent,Personal,0
46,25408.0,26053,530,26.0,0.49429860561226535,0,12,Mortgage,Home Improvement,1
21,39029.0,33265,816,9.0,0.27104087435795376,1,48,Own,Education,0
25,84772.0,15382,623,11.0,0.4859409902991225,0,36,Mortgage,Education,1
22,91315.0,13298,553,9.0,0.2712621285892717,0,24,Mortgage,Personal,0
35,37368.0,16328,759,35.0,0.5593752611303733,0,60,Mortgage,Personal,0
26,139797.0,21530,328,13.0,0.5671835073845074,1,12,Rent,Auto,0
40,39256.0,36840,670,39.0,0.4039471968971293,0,60,Rent,Home Improvement,1
58,60738.0,26150,543,24.0,0.5317590703064785,1,24,Own,Auto,1
61,147738.0,14490,481,23.0,0.38881597704577364,0,60,Mortgage,Business,0
39,39097.0,11395,768,6.0,0.5877706578413782,0,48,Own,Personal,0
66,40806.0,10984,440,29.0,0.4749802351995889,0,36,Rent,Business,1
46,110397.0,8311,723,18.0,0.1328543197141762,0,24,Own,Business,0
55,45522.0,13342,757,18.0,0.42199977161950786,0,48,Mortgage,Auto,0
20,132599.0,31678,742,7.0,0.15205429099228693,0,36,Mortgage,Education,0
52,54911.0,22591,377,,0.5278482340531429,1,48,Mortgage,Personal,1
65,67057.0,7150,629,6.0,0.46795230659800113,1,60,Mortgage,Education,0
18,149838.0,24236,822,1.0,0.2815296060975453,0,48,Mortgage,Business,0
51,82516.0,8083,799,21.0,0.4898793873940154,0,36,Mortgage,Home Improvement,0
68,47856.0,3573,820,39.0,0.44942292658045224,0,12,Rent,Home Improvement,0
46,96908.0,9996,374,5.0,0.5571494032802495,0,48,Own,Personal,1
55,148377.0,13875,641,20.0,0.23184190131730822,0,36,Own,Education,0
24,113065.0,12664,775,,0.1831416843780397,0,36,Rent,Home Improvement,1
28,140103.0,25063,412,38.0,0.40520233350397883,1,60,Own,Personal,1
36,87298.0,32987,790,16.0,0.3481831236006182,0,24,Mortgage,Business,0
57,57904.0,35008,360,39.0,0.3174136693018731,0,36,Rent,Personal,0
55,108929.0,24051,574,36.0,0.14579103666331708,1,60,Mortgage,Education,1
29,21341.0,45623,515,18.0,0.4661124432047806,1,60,Mortgage,Home Improvement,1
42,140075.0,12918,788,25.0,0.11971340568425295,0,12,Rent,Education,0
31,57198.0,9820,818,8.0,0.19629951389281522,0,36,Mortgage,Business,0
56,39426.0,38265,742,38.0,0.11850381735774632,0,36,Own,Business,0
60,22983.0,32705,482,22.0,0.1326781703994712,0,12,Own,Education,1
50,114223.0,14737,407,1.0,0.11220039077826902,1,36,Mortgage,Education,0
52,116122.0,40974,328,28.0,0.11879838660313044,0,48,Mortgage,Home Improvement,1
56,139123.0,13676,302,13.0,0.2485014382274411,1,24,Rent,Personal,1
63,132590.0,36400,698,23.0,0.16221877864842818,2,60,Mortgage,Personal,1
63,146295.0,41970,361,12.0,0.5945924549066794,0,48,Rent,Auto,1
68,121868.0,35157,629,33.0,0.2920453057456248,0,24,Mortgage,Business,1
64,86262.0,47600,398,,0.5974539113232177,0,24,Own,Business,0
20,48831.0,8906,419,24.0,0.3964699674208516,0,24,Own,Business,1
46,85160.0,18602,631,8.0,0.2645256826849355,1,36,Rent,Business,1
25,41754.0,4972,475,25.0,0.3663012597003811,2,60,Mortgage,Auto,1
62,132863.0,3396,414,2.0,0.2739046039510965,0,36,Mortgage,Home Improvement,0
33,39623.0,3139,652,12.0,0.518506664181836,0,24,Rent,Education,1
22,68874.0,10017,330,22.0,0.10257258537735739,1,60,Mortgage,Personal,0
31,77932.0,27588,823,38.0,0.19656643229364654,0,36,Mortgage,Education,0
41,83852.0,2007,625,18.0,0.48051395125101404,0,24,Rent,Education,0
46,102197.0,14507,783,3.0,0.2504817834734081,0,12,Own,Business,0
35,87889.0,24821,584,11.0,0.4748259158714624,0,60,Rent,Personal,0
64,132718.0,28570,758,22.0,0.3229513531883742,0,60,Mortgage,Personal,0
32,61846.0,36612,456,10.0,0.2103848063943802,0,48,Mortgage,Personal,0
61,113623.0,33347,320,15.0,0.5286800460462493,2,36,Rent,Auto,1
55,39982.0,12425,462,24.0,0.4574620201011238,0,48,Own,Auto,1
34,56444.0,4380,819,14.0,0.3268468173026413,0,36,Mortgage,Personal,0
20,35251.0,1526,452,29.0,0.15865409448119724,0,48,Rent,Education,1
39,25109.0,36201,643,7.0,0.25518097946178686,0,60,Rent,Business,1
48,126661.0,27143,310,24.0,0.5300611985946023,0,36,Own,Personal,1
63,58559.0,49590,609,21.0,0.2051747899594343,0,24,Rent,Education,1
30,103869.0,24116,415,25.0,0.29846163810079807,0,24,Mortgage,Home Improvement,1
61,82768.0,7090,616,2.0,0.5481106513425191,0,12,Rent,Education,0
25,122215.0,27289,617,19.0,0.26972509627140306,1,36,Mortgage,Education,0
43,53662.0,34282,426,13.0,0.1408149910152948,0,48,Rent,Auto,1
63,72579.0,5780,608,31.0,0.34909785822656947,0,24,Mortgage,Business,0
20,80315.0,15025,334,28.0,0.30919989433382633,0,48,Rent,Auto,1
41,94131.0,48908,815,27.0,0.2855193814923014,2,24,Mortgage,Education,1
51,42015.0,13003,634,33.0,0.49647804730281575,0,36,Own,Auto,1
62,118833.0,20342,819,35.0,0.5545162603328205,0,48,Rent,Education,0
55,145932.0,5648,617,13.0,0.35740867696484513,0,24,Rent,Education,0
45,87649.0,44006,748,39.0,0.39935699005005376,0,36,Mortgage,Business,0
46,140585.0,12083,660,0.0,0.3247169176068688,0,48,Mortgage,Personal,1
60,75204.0,7116,503,36.0,0.4908951649225147,0,48,Mortgage,Education,1
37,40337.0,17001,810,36.0,0.5683028461474807,0,36,Own,Auto,0
66,84178.0,34997,311,19.0,0.5933150614794235,2,36,Rent,Business,0
56,140030.0,7638,726,22.0,0.43343212877305215,0,60,Rent,Auto,0
25,30225.0,43324,428,7.0,0.17808192239608697,0,24,Mortgage,Auto,1
47,75409.0,29625,444,25.0,0.5344524922393591,0,48,Rent,Home Improvement,0
18,51890.0,14598,352,4.0,0.3885926183558741,0,24,Mortgage,Personal,0
58,107128.0,46743,458,10.0,0.539257780650674,0,48,Mortgage,Home Improvement,0
58,133942.0,26426,664,10.0,0.2878361259408633,0,12,Rent,Education,0
32,29108.0,13178,772,32.0,0.21877206543716374,0,48,Rent,Education,1
31,80233.0,26537,302,20.0,0.5316668247859127,0,48,Rent,Business,1
51,73551.0,12556,599,35.0,0.4039525463967223,0,24,Mortgage,Education,0
60,127510.0,5431,416,14.0,0.22174114828814964,1,48,Mortgage,Business,1
21,27151.0,29211,793,26.0,0.5648029387109946,0,24,Mortgage,Home Improvement,1
21,120441.0,21829,758,6.0,0.44055892698249144,0,60,Rent,Personal,0
59,139735.0,25611,383,3.0,0.14351948129382933,1,48,Rent,Education,0
39,43669.0,35068,519,8.0,0.49687192519025813,0,24,Rent,Auto,1
66,121529.0,35084,349,23.0,0.5113071592568392,0,24,Mortgage,Home Improvement,1
67,147556.0,27160,782,33.0,0.3364459828165911,0,60,Mortgage,Education,0
27,94696.0,28213,376,24.0,0.5938927601074436,0,60,Mortgage,Business,1
58,118032.0,45311,601,18.0,0.40160970510668614,0,60,Rent,Personal,0
20,36456.0,32367,652,5.0,0.2774981529159687,0,12,Mortgage,Education,1
49,34484.0,35503,366,2.0,0.1951624314095339,0,48,Mortgage,Education,1
47,73363.0,33007,741,35.0,0.5808328679774066,0,12,Rent,Business,0
33,88619.0,30328,699,11.0,0.590618187172152,0,60,Rent,Auto,1
37,146823.0,42323,620,29.0,0.3604789886360211,0,24,Mortgage,Auto,0
29,85061.0,10715,808,13.0,0.15882451423677932,0,60,Rent,Personal,0
26,104416.0,39067,706,25.0,0.4002971666803087,0,36,Mortgage,Education,0
69,81929.0,37875,538,37.0,0.5087248542455958,0,24,Mortgage,Home Improvement,0
69,60461.0,9264,698,20.0,0.11144691248806013,0,36,Rent,Auto,0
42,144865.0,9984,552,32.0,0.5613785952566972,0,60,Rent,Auto,0
30,68244.0,49519,836,14.0,0.5815575557945869,0,48,Rent,Education,1
23,137407.0,19268,342,1.0,0.42510054619907667,0,36,Own,Personal,1
28,69841.0,47332,355,14.0,0.5918394626317068,0,36,Rent,Home Improvement,1
24,117359.0,24291,559,3.0,0.5983484269264884,1,48,Rent,Education,1
56,77009.0,16422,784,34.0,0.2838796754386448,0,60,Rent,Auto,0
44,26548.0,38605,770,38.0,0.4094740965038608,0,24,Rent,Auto,0
62,20671.0,1163,764,34.0,0.23292556832715675,0,60,Mortgage,Personal,0
21,45121.0,38487,526,28.0,0.29723813928501763,0,60,Mortgage,Personal,1
26,110536.0,40040,429,28.0,0.2396838569673582,1,48,Mortgage,Home Improvement,1
25,48602.0,24253,499,14.0,0.5446954580644221,0,60,Rent,Home Improvement,1
54,61991.0,5940,499,22.0,0.4581616940313411,0,36,Rent,Auto,0
48,135053.0,49355,735,14.0,0.5711576948365964,0,36,Rent,Personal,0
49,,6439,437,37.0,0.14130883172963435,0,12,Rent,Home Improvement,0
19,116718.0,26538,681,3.0,0.487316890318894,0,24,Own,Auto,1
53,45227.0,6978,787,1.0,0.40094079481816103,0,48,Rent,Personal,1
35,46806.0,46000,787,13.0,0.3197024948472261,0,48,Rent,Personal,1
63,104080.0,13258,421,31.0,0.2584612386724725,1,48,Mortgage,Personal,0
38,35997.0,15215,601,39.0,0.37890661275553494,0,36,Rent,Home Improvement,1
45,113980.0,49908,765,1.0,0.16586438672728096,0,36,Mortgage,Business,1
61,77804.0,44285,720,32.0,0.35418027345813996,0,36,Rent,Personal,0
42,76447.0,37068,410,7.0,0.3307787372098949,0,12,Mortgage,Auto,1
52,41727.0,43815,790,24.0,0.3775424746511431,0,36,Rent,Business,0
69,104899.0,48701,533,25.0,0.5199819901410913,1,12,Mortgage,Business,1
68,109822.0,6110,369,18.0,0.5981671688136236,0,60,Mortgage,Home Improvement,1
43,87364.0,8909,768,39.0,0.18918629215366492,0,48,Rent,Business,0
24,88099.0,37060,825,2.0,0.13242679724148418,0,48,Own,Education,0
35,34226.0,29731,618,18.0,0.1292754646219896,0,24,Mortgage,Home Improvement,1
65,101580.0,30411,649,32.0,0.14430021483980862,0,36,Mortgage,Home Improvement,0
62,97984.0,46253,559,19.0,0.49282580904011597,0,48,Rent,Education,1
69,115804.0,9329,349,2.0,0.1130983542660324,0,60,Mortgage,Auto,0
36,103369.0,26122,601,25.0,0.536365125242301,1,60,Own,Business,0
53,134245.0,27201,559,38.0,0.5519566651301874,1,12,Rent,Personal,1
61,57051.0,8736,842,19.0,0.4284775781335698,2,48,Rent,Personal,1
45,93997.0,18015,699,30.0,0.32486992122527003,0,48,Rent,Auto,1
35,38681.0,39328,832,3.0,0.25759476054867947,0,24,Mortgage,Education,1
65,124646.0,12929,791,13.0,0.4654104824903649,2,24,Rent,Home Improvement,1
66,38322.0,23360,683,11.0,0.27475318604340937,0,24,Mortgage,Business,1
39,39446.0,3336,653,27.0,0.46140715160424184,0,12,Own,Personal,1
18,67945.0,14140,816,1.0,0.4320939572527087,0,24,Own,Business,0
39,147563.0,9535,593,9.0,0.5890309089867642,0,12,Rent,Personal,1
21,50573.0,14171,513,14.0,0.20244063707535628,1,48,Mortgage,Personal,1
45,59961.0,30118,365,24.0,0.14707595506284896,0,48,Own,Business,1
69,46390.0,24128,678,18.0,0.32053607912539184,0,48,Own,Personal,0
53,77828.0,8239,537,39.0,0.3600952616257772,0,48,Rent,Education,1
44,99473.0,2898,339,37.0,0.1703557640243792,0,60,Mortgage,Home Improvement,1
47,31205.0,6906,843,8.0,0.5018017677207676,0,12,Own,Auto,0
30,76481.0,2283,401,30.0,0.4280670090102904,0,60,Own,Education,0
51,44217.0,24172,526,27.0,0.529088526578582,1,24,Rent,Home Improvement,0
19,72142.0,47443,756,20.0,0.22716099058915837,1,48,Rent,Personal,0
43,110301.0,31112,845,17.0,0.47441316848165327,0,12,Mortgage,Business,0
52,98112.0,28516,571,33.0,0.2625520077158495,0,48,Mortgage,Personal,0
18,41447.0,37598,490,2.0,0.4470752867549155,0,60,Rent,Business,1
31,75267.0,17843,700,38.0,0.5036980151699757,0,24,Mortgage,Auto,1
44,103297.0,16223,849,13.0,0.532281804761335,0,36,Own,Home Improvement,0
66,28472.0,24383,569,25.0,0.5831217053533991,0,12,Rent,Auto,1
26,79675.0,6075,472,6.0,0.41067224862676477,0,48,Mortgage,Personal,0
31,144023.0,35228,764,29.0,0.12306178216786692,0,48,Rent,Education,0
31,145149.0,33808,367,27.0,0.5261319371955907,0,12,Mortgage,Education,1
66,71631.0,10885,567,34.0,0.2338883377441671,0,60,Own,Personal,0
20,27851.0,17288,500,8.0,0.4346001314690392,1,12,Rent,Education,1
29,91853.0,43856,325,28.0,0.185290955778545,1,48,Mortgage,Education,0
45,51259.0,34539,705,11.0,0.34383353431063224,0,24,Rent,Business,0
25,62070.0,21389,561,21.0,0.2271957904209235,0,48,Mortgage,Auto,1
59,44000.0,46496,392,34.0,0.19804885636919647,0,60,Own,Education,1
66,37709.0,18543,703,32.0,0.2694303246693758,1,12,Rent,Business,1
58,70952.0,6463,848,16.0,0.1569191967383007,0,12,Rent,Education,1
28,103276.0,45199,318,11.0,0.5411292780474238,0,60,Mortgage,Business,0
56,119291.0,4321,752,7.0,0.5314402514562062,0,60,Mortgage,Personal,0
35,89569.0,39211,719,17.0,0.14614239603662862,0,48,Mortgage,Business,0
58,81350.0,6889,404,9.0,0.28095999541893246,0,24,Own,Personal,1
56,66619.0,18154,383,5.0,0.16027920820184513,1,36,Own,Personal,1
29,137154.0,3282,610,14.0,0.12186953615447368,0,12,Rent,Business,0
55,120123.0,11516,737,17.0,0.3019489320850619,0,12,Rent,Home Improvement,0
51,120127.0,18858,494,,0.38963317691026345,0,36,Own,Business,0
53,148379.0,21384,589,27.0,0.31526466923110374,0,12,Rent,Personal,1
35,22011.0,45014,778,26.0,0.304814447447616,0,60,Own,Home Improvement,0
55,115040.0,18438,687,4.0,0.2142433733773854,2,36,Mortgage,Business,1
60,92127.0,26833,561,14.0,0.3439255985962032,0,24,Rent,Auto,1
40,43173.0,31403,500,28.0,0.24420271890937287,2,48,Rent,Auto,1
22,23236.0,16848,604,12.0,0.37085240620500204,0,36,Mortgage,Business,0
62,76882.0,5857,796,20.0,0.2712239894173567,0,48,Mortgage,Education,0
41,101532.0,38772,410,33.0,0.3444489158962257,0,12,Mortgage,Business,1
41,125209.0,20218,464,38.0,0.2975688716321593,0,12,Mortgage,Auto,1
44,21140.0,25842,439,20.0,0.472930019313506,0,60,Mortgage,Personal,1
29,33893.0,33272,446,25.0,0.5904936890813426,0,24,Own,Education,1
40,40878.0,13991,798,16.0,0.5327885728122761,2,24,Own,Education,0
24,118668.0,20503,810,8.0,0.1297357844336404,0,12,Mortgage,Auto,1
55,41826.0,3490,312,30.0,0.4670148812946532,0,60,Rent,Auto,1
38,71151.0,18611,493,23.0,0.4665255949299967,0,36,Mortgage,Education,0
24,143421.0,11886,364,35.0,0.5170722985003379,0,60,Rent,Auto,0
26,31390.0,42216,846,1.0,0.15220206487404073,0,24,Rent,Business,1
55,86634.0,20810,487,12.0,0.5738440129822354,0,60,Rent,Auto,1
34,79766.0,13449,679,15.0,0.3391299420976117,0,24,Own,Personal,1
56,88487.0,18622,326,28.0,0.39162874622805777,1,12,Mortgage,Auto,0
36,109400.0,48829,330,16.0,0.459895726677343,1,24,Own,Education,1
49,32145.0,16373,477,27.0,0.21732672088792468,0,48,Rent,Home Improvement,1
48,32237.0,16649,653,10.0,0.23577352370562119,0,12,Rent,Education,1
49,64757.0,27917,508,22.0,0.3916332589065227,0,60,Mortgage,Personal,0
18,91274.0,33402,436,26.0,0.5332739908745434,0,24,Mortgage,Business,0
65,68695.0,45452,700,22.0,0.3469070202284643,0,36,Mortgage,Education,1
38,32180.0,34002,312,36.0,0.5830237525643386,0,12,Mortgage,Auto,1
37,125426.0,6842,592,16.0,0.2800252329504892,2,48,Mortgage,Business,1
31,143106.0,6355,754,12.0,0.3082522159519395,1,24,Rent,Education,0
39,71168.0,28747,472,33.0,0.2973671769224141,1,48,Mortgage,Business,0
38,36923.0,48591,737,0.0,0.5451075013180872,0,36,Mortgage,Home Improvement,0
61,77134.0,3100,824,36.0,0.5555343513836918,1,12,Rent,Business,0
64,71813.0,35832,481,23.0,0.4624282496575085,1,24,Own,Education,1
45,63791.0,12950,764,39.0,0.16575913345818896,1,60,Rent,Business,0
54,101029.0,29038,800,24.0,0.48657093695933573,0,48,Mortgage,Education,0
53,70124.0,21936,459,10.0,0.5148815601438225,0,60,Rent,Business,1
58,22204.0,28233,525,27.0,0.3367004407474563,0,48,Rent,Auto,0
22,46423.0,44615,733,10.0,0.581384175126603,0,12,Rent,Home Improvement,0
43,133688.0,47473,806,18.0,0.17348135479410484,1,48,Rent,Education,0
66,52430.0,24091,401,23.0,0.4624905849620262,0,12,Mortgage,Education,0
37,25939.0,48464,758,32.0,0.5789670605283852,0,60,Mortgage,Auto,0
39,108509.0,40121,601,12.0,0.32929897175692,0,60,Own,Auto,0
34,113935.0,7474,632,10.0,0.2959291482045394,0,12,Rent,Auto,0
43,96221.0,24544,631,10.0,0.32948173968864936,1,24,Mortgage,Personal,0
51,54064.0,30290,544,15.0,0.5886539539957518,0,60,Mortgage,Home Improvement,1
47,108896.0,22542,486,19.0,0.3825426562263782,0,48,Rent,Personal,1
45,56777.0,20710,470,20.0,0.2110379353466603,0,24,Own,Home Improvement,1
44,129432.0,38212,750,12.0,0.10022139071860395,1,36,Mortgage,Business,0
24,105744.0,29482,703,29.0,0.5592132160727044,2,36,Rent,Education,0
46,95731.0,18076,390,17.0,0.4283155368539381,0,24,Mortgage,Auto,1
28,29256.0,21584,492,16.0,0.17408896411497274,0,12,Mortgage,Education,1
68,69812.0,23626,581,,0.17190717515740686,0,24,Mortgage,Business,0
59,28275.0,48857,408,28.0,0.22765453825196583,0,48,Mortgage,Business,1
52,120772.0,47976,666,23.0,0.5133733840131235,0,48,Mortgage,Home Improvement,0
20,36673.0,28056,770,22.0,0.5655049854426499,0,60,Mortgage,Personal,1
23,54148.0,43633,690,38.0,0.25209935981814047,0,36,Mortgage,Personal,1
29,105029.0,21466,810,35.0,0.47094816347935753,1,24,Rent,Business,0
44,85458.0,17589,484,35.0,0.5924292013812379,0,60,Own,Personal,1
48,84425.0,4273,331,33.0,0.4903158587127786,0,36,Mortgage,Business,1
65,108499.0,14422,452,20.0,0.3800458487216978,0,12,Rent,Auto,1
19,40583.0,21238,395,38.0,0.3308580719065596,1,24,Mortgage,Auto,1
58,104444.0,19504,440,5.0,0.2678052271349214,2,36,Rent,Home Improvement,1
62,54998.0,38055,364,16.0,0.2902588549349473,0,48,Rent,Personal,0
57,24173.0,44833,569,33.0,0.31883066407410177,0,36,Own,Home Improvement,1
57,30578.0,19624,752,26.0,0.34113218062609607,0,36,Mortgage,Personal,0
42,89267.0,17835,727,22.0,0.258274832633935,1,12,Mortgage,Personal,0
20,31889.0,25335,478,17.0,0.22375503657020598,0,12,Own,Personal,1
44,36523.0,2424,396,4.0,0.4663495252951402,0,36,Rent,Personal,1
39,141028.0,27049,751,32.0,0.42086719864927913,0,36,Mortgage,Education,0
41,75633.0,16166,660,7.0,0.13375127334191098,0,12,Rent,Education,0
58,21988.0,49209,773,19.0,0.3113643184469661,0,48,Rent,Education,0
52,61167.0,39401,465,21.0,0.17197095678611543,0,36,Rent,Auto,1
37,84619.0,30267,782,1.0,0.23370101392877066,0,36,Rent,Education,0
49,114767.0,46800,742,35.0,0.22476218341912432,0,48,Mortgage,Personal,0
32,68442.0,38525,547,21.0,0.41260238476522115,0,60,Own,Personal,1
66,141992.0,1082,719,8.0,0.5199008033322133,0,12,Own,Home Improvement,0
69,27674.0,30038,570,3.0,0.3172016595033049,0,24,Mortgage,Personal,1
58,95945.0,5017,511,39.0,0.42699704616990064,1,48,Rent,Personal,1
22,137034.0,6039,595,10.0,0.32947025829841015,0,24,Own,Education,1
27,86897.0,27149,574,35.0,0.5663552540663807,0,36,Mortgage,Home Improvement,0
63,116007.0,34458,793,16.0,0.5603833042316787,0,12,Rent,Auto,0
54,106664.0,19257,486,20.0,0.3056697332495719,1,36,Mortgage,Business,1
60,25668.0,26934,391,17.0,0.5123716186735038,0,36,Own,Personal,1
24,121948.0,30493,387,3.0,0.2050146747581408,0,36,Own,Education,1
55,33652.0,6103,320,6.0,0.4602827743222031,1,36,Rent,Personal,1
44,112471.0,22225,834,24.0,0.2784429875855551,0,48,Mortgage,Home Improvement,0
49,68516.0,27147,476,38.0,0.21589179514467502,0,60,Rent,Education,0
39,120776.0,28253,560,22.0,0.5189541874259018,1,36,Own,Personal,1
64,21700.0,29246,671,22.0,0.31480429606618165,0,60,Mortgage,Home Improvement,1
39,98581.0,42680,534,31.0,0.5454277674915734,0,24,Mortgage,Education,1
59,130107.0,27829,546,18.0,0.2678369165195298,0,36,Own,Business,1
36,120546.0,15665,474,0.0,0.20183356888634243,0,60,Mortgage,Education,1
30,30799.0,6552,544,28.0,0.3195477826254143,2,12,Rent,Business,0
24,50009.0,34584,402,0.0,0.10906202052286487,0,12,Mortgage,Business,0
60,30655.0,48897,679,15.0,0.10498938832922469,0,12,Own,Auto,1
